Tabela,Localização,Vaga,Vaga proporcional,Marca
joao_neves,B5,921,-40 ou 22,Sem carro
joao_neves,B5,927,-34 ou 28,Japones
camila,B5,929,-32 ou 30,Europeu
joao_neves,B5,930,-31 ou 31,Japones
joao_neves,B5,942,-19 ou 43,Europeu
joao_neves,B5-B6,963,-12 ou 2,Sem carro
joao_neves,B5-B6,967,-8 ou 6,Sem carro
camila,B5-B6,971,-4 ou 10,Europeu
joao_neves,B6,976,-49 ou 1,Sem carro
joao_neves,B6,991,-34 ou 16,Sem carro
camila,B6,1001,-24 ou 26,Europeu
natasha,B6,1005,-20 ou 30,Sem carro
joao_neves,B6,1007,-18 ou 32,Sem carro
natasha,B6,1008,-17 ou 33,Sem carro
joao_neves,B6,1009,-16 ou 34,Sem carro
joao_neves,B6,1010,-15 ou 35,Sem carro
natasha,B6,1012,-13 ou 37,Sem carro
joao_neves,B6,1021,-4 ou 46,Sem carro
joao_neves,B6,1025,0 ou 50,Sem carro
joao_neves,B6-B7,1033,-4 ou 8,Sem carro
natasha,B7,1038,-49 ou 1,Sem carro
natasha,B7,1048,-39 ou 11,Sem carro
joao_neves,B7,1056,-31 ou 19,Sem carro
natasha,B7,1064,-23 ou 27,Japones
natasha,B7,1074,-13 ou 37,Sem carro
natasha,B7,1079,-8 ou 42,Sem carro
camila,B7-B8,1092,-9 ou 5,Sem carro
natasha,B8,1105,-20 ou 4,Sem carro
natasha,B8,1107,-18 ou 6,Sem carro
natasha,B8,1113,-12 ou 12,Sem carro
camila,B8,1116,-9 ou 15,Sem carro
joao_neves,B8,1120,-5 ou 19,Sem carro
joao_neves,B8,1121,-4 ou 20,Sem carro
camila,B8,1125,0 ou 24,Sem carro
andre,B3-B4,810,-8 ou 11,Europeu
andre,A5-A6,402,-4 ou 8,Sem carro
andre,B2-B3,724,-13 ou 9,Sem carro
andre,B4,842,-38 ou 24,Sem carro
andre,A3,273,-17 ou 21,Sem carro
andre,A3,274,-16 ou 22,Sem carro
